person_id,name,birth_year
nm0000492,Jennifer Jason Leigh,1962
nm0000493,Jack Lemmon,1925
nm0000496,Juliette Lewis,1973
nm0000498,Matthew Lillard,1970
nm0000499,Bai Ling,0
nm0000501,Ray Liotta,1954
nm0000502,Christopher Lloyd,1938
nm0000509,Bela Lugosi,1882
nm0000510,Andie MacDowell,1958
nm0000511,Shirley MacLaine,1934
nm0000513,William H. Macy,1950
nm0000514,Michael Madsen,1957
nm0000515,Virginia Madsen,1961
nm0000516,Lee Majors,1939
nm0000518,John Malkovich,1953
nm0000524,Mary Stuart Masterson,1966
nm0000527,Walter Matthau,1920
nm0000528,Mathilda May,1965
nm0000529,Debi Mazar,1964
nm0000530,Andrew McCarthy,1962
nm0000531,Frances McDormand,1957
nm0000532,Malcolm McDowell,1943
nm0000534,Kelly McGillis,1957
nm0000538,Colm Meaney,1953
nm0000542,Penelope Ann Miller,1964
nm0000545,Helen Mirren,1945
nm0000547,Alfred Molina,1953
nm0000549,Roger Moore,1927
nm0000551,Dermot Mulroney,1963
nm0000552,Eddie Murphy,1961
nm0000553,Liam Neeson,1952
nm0000554,Sam Neill,1947
nm0000555,Judd Nelson,1959
nm0000557,Brigitte Nielsen,1963
nm0000558,Leslie Nielsen,1926
nm0000559,Leonard Nimoy,1931
nm0000560,Nick Nolte,1941
nm0000561,Peter North,1957
nm0000564,Peter O'Toole,1932
nm0000566,Julia Ormond,1965
nm0000569,Gwyneth Paltrow,1972
nm0000571,Mary-Louise Parker,1964
nm0000575,Alexandra Paul,1963
nm0000576,Sean Penn,1960
nm0000578,Anthony Perkins,1932
nm0000579,Ron Perlman,1950
nm0000580,Luke Perry,1966
nm0000582,Joe Pesci,1943
nm0000587,Donald Pleasence,1919
nm0000588,Martha Plimpton,1970
nm0000592,Pete Postlethwaite,1946
nm0000594,Jason Priestley,1969
nm0000597,Bill Pullman,1953
nm0000598,Dennis Quaid,1954
nm0000599,Kathleen Quinlan,1954
nm0000602,Robert Redford,1936
nm0000603,Vanessa Redgrave,1937
nm0000604,John C. Reilly,1965
nm0000605,Brad Renfro,1982
nm0000606,Jean Reno,1948
nm0000608,Burt Reynolds,1936
nm0000609,Ving Rhames,1959
nm0000610,Giovanni Ribisi,1974
nm0000612,Denise Richards,1971
nm0000613,Joely Richardson,1965
nm0000615,John Ritter,1948
nm0000616,Eric Roberts,1956
nm0000618,Isabella Rossellini,1952
nm0000619,Tim Roth,1961
nm0000620,Mickey Rourke,1952
nm0000621,Kurt Russell,1951
nm0000622,Theresa Russell,1957
nm0000623,Rene Russo,1954
nm0000626,John Sayles,1950
nm0000627,Greta Scacchi,1960
nm0000628,Johnathon Schaech,1969
nm0000630,Liev Schreiber,1967
nm0000634,Peter Sellers,1925
nm0000638,William Shatner,1931
nm0000639,Ally Sheedy,1962
nm0000640,Martin Sheen,1940
nm0000641,Gary Sinise,1955
nm0000643,Tom Skerritt,1933
nm0000647,Alan Smithee,0
nm0000649,Paul Sorvino,1939
nm0000652,James Spader,1960
nm0000653,Brent Spiner,1949
nm0000657,David Strathairn,1949
nm0000658,Meryl Streep,1949
nm0000661,Donald Sutherland,1935
nm0000662,Kiefer Sutherland,1966
nm0000663,Dominique Swain,1980
nm0000666,Lili Taylor,1967
nm0000667,David Thewlis,1963
nm0000668,Emma Thompson,1959
nm0000669,Fred Thompson,1942
nm0000671,Billy Bob Thornton,1955
nm0000672,Meg Tilly,1960
nm0000673,Marisa Tomei,1964
nm0000675,Jeanne Tripplehorn,1963
nm0000677,Robin Tunney,1972
nm0000678,Kathleen Turner,1954
nm0000679,Deborah Kara Unger,1966
nm0000680,Casper Van Dien,1968
nm0000681,Vince Vaughn,1970
nm0000683,Gore Vidal,1925
nm0000685,Jon Voight,1938
nm0000686,Christopher Walken,1943
nm0000690,Lesley Ann Warren,1946
nm0000693,Peter Weller,1947
nm0000694,Wim Wenders,1945
nm0000695,Joanne Whalley,1961
nm0000696,Wil Wheaton,1972
nm0000699,Michael Wincott,1958
nm0000701,Kate Winslet,1975
nm0000702,Reese Witherspoon,1976
nm0000704,Elijah Wood,1981
nm0000705,Robin Wright,1966
nm0000706,Michelle Yeoh,1962
nm0000707,Sean Young,0
nm0000708,Billy Zane,1966
nm0000719,F. Murray Abraham,1939
nm0000721,Victoria Abril,1959
nm0000722,Joss Ackland,1928
nm0000723,Deborah Adair,1952
nm0000724,Brooke Adams,1949
nm0000728,Mario Adorf,1930
nm0000729,Casey Affleck,1975
nm0000730,John Agar,1921
nm0000732,Danny Aiello,1933
nm0000733,Anouk Aimée,1932
nm0000734,Eddie Albert,1906
nm0000737,Jane Alexander,1939
nm0000738,Muhammad Ali,1942
nm0000745,Carol Alt,1960
nm0000746,Trini Alvarado,1967
nm0000747,Don Ameche,1908
nm0000748,Leon Ames,1902
nm0000751,Suzy Amis,1962
nm0000752,Judith Anderson,1897
nm0000753,Juliet Anderson,1938
nm0000763,Dana Andrews,1909
nm0000765,Pier Angeli,1932
nm0000767,Jean-Hugues Anglade,1955
nm0000772,Susan Anton,1950
nm0000773,Laura Antonelli,1941
nm0000775,Christina Applegate,1971
nm0000778,Alfonso Arau,1932
nm0000784,Pedro Armendáriz,1912
nm0000789,Desi Arnaz,1917
nm0000790,James Arness,1923
nm0000792,Tom Arnold,1959
nm0000793,Alexis Arquette,1969
nm0000795,Jean Arthur,1900
nm0000798,Linden Ashby,1960
nm0000799,Edward Asner,1929
nm0000800,Armand Assante,1949
nm0000802,Mary Astor,1906
nm0000803,Christopher Atkins,1961
nm0000804,Stéphane Audran,1932
nm0000805,Claudine Auger,1941
nm0000809,Daniel Auteuil,1950
nm0000810,Gene Autry,1907
nm0000815,Mili Avital,1972
nm0000817,Lew Ayres,1908
nm0000818,Shabana Azmi,1950
nm0000819,Barbara Bach,1946
nm0000821,Amitabh Bachchan,1942
nm0000822,Jim Backus,1913
nm0000826,Jane Badler,1953
nm0000832,Diane Baker,1938
nm0000836,Scott Bakula,1954
nm0000838,Daniel Baldwin,1960
nm0000840,Lucille Ball,1911
nm0000842,Martin Balsam,1919
nm0000843,Anne Bancroft,1931
nm0000846,Ian Bannen,1928
nm0000849,Javier Bardem,1969
nm0000852,Jean-Marc Barr,1960
nm0000855,Raymond J. Barry,1939
nm0000856,Ethel Barrymore,1879
nm0000857,John Drew Barrymore,1932
nm0000858,John Barrymore,1882
nm0000859,Lionel Barrymore,1878
nm0000860,Paul Bartel,1938
nm0000861,Freddie Bartholomew,1924
nm0000865,Richard Basehart,1914
nm0000869,Alan Bates,1934
nm0000871,Randall Batinkoff,1968
nm0000872,Patrick Bauchau,0
nm0000873,Belinda Bauer,1950
nm0000874,Steven Bauer,1956
nm0000879,Anne Baxter,1923
nm0000882,Nathalie Baye,1948
nm0000884,Jennifer Beals,1963
nm0000885,Ned Beatty,1937
nm0000888,Meret Becker,1969
nm0000889,Bonnie Bedelia,1948
nm0000890,Noah Beery Jr.,1913
nm0000891,Wallace Beery,1885
nm0000893,Ed Begley Jr.,1949
nm0000895,Barbara Bel Geddes,1922
nm0000896,Harry Belafonte,1927
nm0000899,Monica Bellucci,1964
nm0000902,Jim Belushi,1954
nm0000904,William Bendix,1906
nm0000905,Roberto Benigni,1952
nm0000909,Constance Bennett,1904
nm0000910,Joan Bennett,1910
nm0000911,Nigel Bennett,1949
nm0000916,Peter Berg,1964
nm0000917,Polly Bergen,1930
nm0000919,Senta Berger,1941
nm0000920,Patrick Bergin,1951
nm0000922,Sandahl Bergman,1951
nm0000924,Elizabeth Berkley,1972
nm0000925,Steven Berkoff,1937
nm0000929,Corbin Bernsen,1954
nm0000937,Richard Beymer,1939
nm0000945,Jane Birkin,1946
nm0000946,Whit Bissell,1909
nm0000947,Karen Black,1939
nm0000950,Brenda Blethyn,1946
nm0000951,Joan Blondell,1906
nm0000952,Hart Bochner,1956
nm0000954,Jon Bon Jovi,1962
nm0000955,Ward Bond,1903
nm0000960,Barry Bostwick,1945
nm0000961,Timothy Bottoms,1951
nm0000962,Carole Bouquet,1957
nm0000964,Charles Boyer,1899
nm0000969,Lillo Brancato,1976
nm0000973,Benjamin Bratt,0
nm0000974,Walter Brennan,1894
nm0000977,Beau Bridges,1941
nm0000978,Lloyd Bridges,1913
nm0000979,Wilford Brimley,1934
nm0000980,Jim Broadbent,1949
nm0000986,Bryan Brown,1947
nm0000987,Jim Brown,1936
nm0000989,Yul Brynner,1920
nm0000991,Geneviève Bujold,1942
nm0000995,Ellen Burstyn,1932
nm0000997,Gary Busey,1944
nm0000998,Jake Busey,1971
nm0000999,Red Buttons,1919
nm0001000,Tom Byron,1961
nm0001001,James Caan,1940
nm0001002,Dean Cain,1966
nm0001004,Billy Campbell,1959
nm0001007,Dyan Cannon,1937
nm0001010,Capucine,1928
nm0001012,Claudia Cardinale,1938
nm0001016,David Carradine,1936
nm0001017,John Carradine,1906
nm0001019,Robert Carradine,1954
nm0001020,Katrin Cartlidge,1961
nm0001021,Veronica Cartwright,1949
nm0001023,John Cassavetes,1929
nm0001024,Nick Cassavetes,1959
nm0001025,Seymour Cassel,1935
nm0001027,Shaun Cassidy,1958
nm0001028,Maxwell Caulfield,1959
nm0001031,Claude Chabrol,1930
nm0001033,Lon Chaney Jr.,1906
nm0001034,Rosalind Chao,0
nm0001035,Ben Chaplin,1970
nm0001036,Geraldine Chaplin,1944
nm0001038,Josh Charles,1971
nm0001040,Joan Chen,1961
nm0001041,Maggie Cheung,1964
nm0001046,Julie Christie,1940
nm0001048,Andrew Dice Clay,1957
nm0001049,Jill Clayburgh,1944
nm0001050,Montgomery Clift,1920
nm0001055,Claudette Colbert,1903
nm0001057,Toni Collette,1972
nm0001058,Joan Collins,1933
nm0001059,Robbie Coltrane,1950
nm0001061,Holly Marie Combs,1973
nm0001063,Jeff Conaway,1950
nm0001064,Jason Connery,1963
nm0001067,Jackie Coogan,1914
nm0001072,Joseph Cotten,1905
nm0001075,Peter Coyote,1941
nm0001078,Bing Crosby,1903
nm0001079,Scatman Crothers,1910
nm0001082,Billy Crudup,1968
nm0001083,Jon Cryer,1965
nm0001086,Alan Cumming,1965
nm0001088,Peter Cushing,1913
nm0001089,Henry Czerny,1959
nm0001092,Mark Dacascos,0
nm0001095,Béatrice Dalle,1964
nm0001096,Timothy Dalton,1946
nm0001097,Charles Dance,1946
nm0001099,Jeff Daniels,1955
nm0001100,Blythe Danner,1943
nm0001101,Ted Danson,1947
nm0001102,Joe Dante,1946
nm0001105,Linda Darnell,1923
nm0001106,Racquel Darrian,1968
nm0001108,Robert Davi,1951
nm0001110,Embeth Davidtz,1965
nm0001117,Bruce Davison,1946
nm0001118,Pam Dawber,1951
nm0001119,Yvonne De Carlo,1922
nm0001125,Benicio Del Toro,1967
nm0001128,Alain Delon,1935
nm0001131,Patrick Dempsey,1966
nm0001132,Judi Dench,1934
nm0001133,Brian Dennehy,1938
nm0001136,Bruce Dern,1936
nm0001141,Angie Dickinson,1931
nm0001142,Uschi Digard,1948
nm0001143,Kevin Dillon,1965
nm0001144,Céline Dion,1968
nm0001150,James Doohan,1920
nm0001151,Stephen Dorff,1973
nm0001154,Michael Dudikoff,0
nm0001159,Faye Dunaway,1941
nm0001162,Griffin Dunne,1955
nm0001163,Roy Dupuis,1963
nm0001164,Charles Durning,1923
nm0001166,James Duval,1972
nm0001169,George Dzundza,1945
nm0001171,Buddy Ebsen,1908
nm0001172,Christopher Eccleston,1964
nm0001179,Anita Ekberg,1931
nm0001180,Britt Ekland,1942
nm0001181,Jack Elam,1920
nm0001182,Carmen Electra,1972
nm0001185,Hector Elizondo,1936
nm0001186,Denholm Elliott,1922
nm0001191,Adam Sandler,1966
nm0001194,Jeff Fahey,1952
nm0001195,Douglas Fairbanks Jr.,1909
nm0001199,Dennis Farina,1944
nm0001200,Gary Farmer,1953
nm0001201,Mia Farrow,1945
nm0001202,Rainer Werner Fassbinder,1945
nm0001208,Miguel Ferrer,1955
nm0001209,William Fichtner,1956
nm0001213,Harvey Fierstein,1952
nm0001215,Albert Finney,1936
nm0001218,Sean Patrick Flanery,1965
nm0001224,Errol Flynn,1909
nm0001225,Nina Foch,1924
nm0001228,Peter Fonda,1940
nm0001229,Glenn Ford,1916
nm0001230,Harrison Ford,1884
nm0001233,Robert Forster,1941
nm0001234,John Forsythe,1918
nm0001235,William Forsythe,1955
nm0001236,Meg Foster,1948
nm0001237,Samantha Fox,1950
nm0001238,Jesús Franco,1930
nm0001242,Matt Frewer,1958
nm0001245,Mira Furlan,1955
nm0001247,Eva Gabor,1919
nm0001249,Monique Gabrielle,1962
nm0001253,Mason Gamble,1986
nm0001254,James Gandolfini,1961
nm0001255,Victor Garber,1949
nm0001256,Greta Garbo,1905
nm0001257,Ava Gardner,1922
nm0001258,James Garner,1928
nm0001260,John Gavin,1931
nm0001262,Ben Gazzara,1930
nm0001263,Jason Gedrick,0
nm0001272,Annabeth Gish,1971
nm0001275,Philip Glass,1937
nm0001276,Jackie Gleason,1916
nm0001280,Jenette Goldstein,1960
nm0001282,Tony Goldwyn,1960
nm0001283,Louis Gossett Jr.,1936
nm0001284,Michael Gough,1916
nm0001285,Elliott Gould,1938
nm0001287,Heather Graham,1970
nm0001289,Stewart Granger,1913
nm0001293,Seth Green,1974
nm0001295,Graham Greene,1952
nm0001296,Lorne Greene,1915
nm0001298,Richard Grieco,1965
nm0001299,Thomas Ian Griffith,1962
nm0001302,Christopher Guest,1948
nm0001305,Lukas Haas,1976
nm0001307,Stacy Haiduk,1968
nm0001308,Alan Hale Jr.,1921
nm0001313,George Hamilton,1939
nm0001315,Marcia Gay Harden,1959
nm0001316,Oliver Hardy,1892
nm0001322,Rex Harrison,1908
nm0001323,Debbie Harry,1945
nm0001326,Josh Hartnett,1978
nm0001327,David Hasselhoff,1952
nm0001329,Nigel Hawthorne,1929
nm0001330,Sterling Hayden,1916
nm0001333,Susan Hayward,1917
nm0001334,John Heard,1946
nm0001335,Tippi Hedren,1930
nm0001336,Van Heflin,1908
nm0001337,Katherine Heigl,1978
nm0001343,Carrie Henn,1976
nm0001345,Jim Henson,1936
nm0001352,Terence Hill,1939
nm0001354,Ciarán Hinds,1953
nm0001359,Sterling Holloway,1905
nm0001360,John Holmes,1944
nm0001362,Bob Hope,1903
nm0001364,Bob Hoskins,1942
nm0001367,C. Thomas Howell,1966
nm0001368,Ernie Hudson,1945
nm0001369,Rock Hudson,1925
nm0001371,Tom Hulce,1953
nm0001372,Bonnie Hunt,1961
nm0001374,Jeffrey Hunter,1926
nm0001376,Isabelle Huppert,1953
nm0001381,Lauren Hutton,1943
nm0001385,Eric Idle,1943
nm0001386,Natalie Imbruglia,1975
nm0001388,Amy Irving,1953
nm0001393,Irène Jacob,1966
nm0001394,Derek Jacobi,1938
nm0001395,Richard Jaeckel,1926
nm0001396,Mick Jagger,1943
nm0001397,Brion James,1945
nm0001401,Angelina Jolie,1975
nm0001404,Madeline Kahn,1942
nm0001406,Carol Kane,1952
nm0001409,Tchéky Karyo,1953
nm0001411,William Katt,1951
nm0001412,Andy Kaufman,1949
nm0001413,Julie Kavner,1950
nm0001417,Brian Keith,1921
nm0001418,David Keith,1954
nm0001419,Sally Kellerman,1937
nm0001421,George Kennedy,1925
nm0001423,Richard Kiel,1939
nm0001424,Udo Kier,1944
nm0001426,Ben Kingsley,1943
nm0001427,Greg Kinnear,1963
nm0001428,Klaus Kinski,1926
nm0001429,Takeshi Kitano,1947
nm0001431,Wayne Knight,1955
nm0001433,Yaphet Kotto,1939
nm0001434,Kris Kristofferson,1936
nm0001435,Lisa Kudrow,1963
nm0001439,Anthony LaPaglia,1959
nm0001441,Christine Lahti,1950
nm0001444,Lorenzo Lamas,1958
nm0001445,Martin Landau,1928
nm0001447,Nathan Lane,1956
nm0001448,Jessica Lange,1949
nm0001449,Frank Langella,1938
nm0001450,Angela Lansbury,1925
nm0001452,Charles Laughton,1899
nm0001457,James Le Gros,1962
nm0001458,Cloris Leachman,1926
nm0001461,Virginie Ledoyen,1976
nm0001462,Jason Scott Lee,1966
nm0001463,Janet Leigh,1927
nm0001467,Jared Leto,1971
nm0001470,Charlotte Lewis,1967
nm0001471,Jerry Lewis,1926
nm0001473,Laura Linney,1964
nm0001474,Tom Lister Jr.,1958
nm0001475,John Lithgow,1945
nm0001476,Cleavon Little,1939
nm0001478,June Lockhart,1925
nm0001479,Carole Lombard,1908
nm0001480,Shelley Long,1949
nm0001484,Jon Lovitz,1957
nm0001485,Myrna Loy,1905
nm0001487,John Lynch,1961
nm0001493,Peter MacNicol,1954
nm0001496,Amy Madigan,1950
nm0001505,Joe Mantegna,1947
nm0001509,Dean Martin,1917
nm0001513,Tim Matheson,1947
nm0001514,Victor Mature,1913
nm0001518,Dylan McDermott,1961
nm0001520,Christopher McDonald,0
nm0001522,Roddy McDowall,1928
nm0001523,Natascha McElhone,1969
nm0001530,William McNamara,0
nm0001535,Dale Midkiff,1959
nm0001536,Toshirō Mifune,1920
nm0001537,Ray Milland,1907
nm0001539,Hayley Mills,1946
nm0001542,Jay Mohr,1970
nm0001546,Mary Tyler Moore,1936
nm0001547,Agnes Moorehead,1900
nm0001548,Rick Moranis,1953
nm0001552,Pat Morita,1932
nm0001556,David Morse,1953
nm0001559,Audie Murphy,1924
nm0001560,Ornella Muti,1955
nm0001567,Connie Nielsen,1965
nm0001568,Lisa Niemi,1956
nm0001569,Chuck Norris,1940
nm0001571,Kim Novak,1933
nm0001572,Danny Nucci,1968
nm0001573,Catherine O'Hara,1954
nm0001574,Michael O'Keefe,1955
nm0001577,Maureen O'Sullivan,1911
nm0001579,Edward James Olmos,1947
nm0001581,Mary-Kate Olsen,1986
nm0001586,Joanna Pacula,1957
nm0001588,Jack Palance,1919
nm0001589,Michael Palin,1943
nm0001590,Chazz Palminteri,1946
nm0001592,Joe Pantoliano,1951
nm0001594,Anne Parillaud,1960
nm0001595,Michael Paré,1958
nm0001597,Mandy Patinkin,1952
nm0001598,Robert Patrick,1958
nm0001599,Will Patton,1954
nm0001600,Adrian Paul,1959
