from_id,to_id,ordering,category
nm14518761,tt26544610,10,actress
nm6971633,tt5947274,2,actress
nm1370408,tt3970854,3,actor
nm2505548,tt3180454,5,actor
nm0456030,tt0096303,8,actress
nm6119097,tt6842288,4,actor
nm3907690,tt1579391,7,actress
nm16787865,tt34851846,2,actress
nm7348187,tt11289168,2,actress
nm0590224,tt0040208,3,actor
nm2246761,tt0123046,9,actor
nm0847400,tt23575432,7,actor
nm4551124,tt1996306,5,actress
nm15713903,tt29522140,6,actress
nm8889369,tt6755878,4,actress
nm6891947,tt34477899,1,actress
nm10679374,tt10299658,2,actor
nm0883620,tt0137386,3,actor
nm0461615,tt0030241,3,actress
nm16221447,tt31548505,10,actor
nm4519203,tt6215044,8,actress
nm1595466,tt4367192,1,actor
nm0271791,tt0054398,7,actor
nm1237235,tt3145008,5,actor
nm0796316,tt0374777,3,actor
nm4222312,tt1795595,3,actress
nm2830775,tt31350074,5,actor
nm0958144,tt3128338,1,actor
nm0466581,tt0116467,1,actress
nm0767800,tt0157970,4,actress
nm0087539,tt0251052,6,actress
nm12555017,tt14618162,10,actor
nm1375484,tt0420890,4,actor
nm2790414,tt0066366,4,actor
nm0260539,tt0287300,3,actress
nm0411731,tt0114892,6,actor
nm10055338,tt3490438,1,actor
nm3010903,tt1971397,4,actress
nm3034977,tt8404256,10,actress
nm5929147,tt38507195,9,actor
nm1201278,tt3180482,4,actor
nm0905422,tt0050470,7,actress
nm2068441,tt34340953,7,actor
nm12493481,tt18393942,8,actress
nm0348855,tt0262063,7,actor
nm0490489,tt0109678,1,actor
nm0388818,tt7612268,6,actor
nm0528811,tt0256489,6,actress
nm0299856,tt0156537,3,actor
nm16824032,tt34824848,10,actress
nm2307572,tt0293698,7,actress
nm2544899,tt2211784,4,actress
nm0411600,tt0237399,9,actor
nm0295785,tt2319815,8,actor
nm18735010,tt43521153,3,actor
nm0905351,tt1594438,6,actor
nm0443563,tt2012637,9,actor
nm6314802,tt38749006,2,actor
nm3103119,tt14674708,2,actor
nm1166738,tt2330408,2,actress
nm7740881,tt5212998,3,actor
nm6649988,tt11102262,4,actor
nm14977383,tt28211105,1,actress
nm0342458,tt2807914,5,actor
nm1957198,tt3376622,2,actress
nm1999333,tt11015916,9,actor
nm0462013,tt0372512,1,actor
nm6792038,tt8422674,3,actor
nm3006818,tt1959526,3,actress
nm3600978,tt5914652,5,actress
nm10039038,tt9333146,1,actress
nm4869921,tt28297050,6,actor
nm0438103,tt0286008,9,actress
nm6704832,tt0280523,8,actor
nm0244041,tt0130943,5,actress
nm4694484,tt33054621,7,actor
nm0882485,tt8807684,3,actress
nm10765445,tt10483736,3,actor
nm1847597,tt0165294,3,actress
nm7613074,tt37151965,4,actor
nm0408433,tt0013009,10,actor
nm2762011,tt0075346,4,actor
nm9645199,tt39383419,1,actress
nm17576171,tt7390082,7,actor
nm0904494,tt0376162,9,actor
nm0409099,tt0281659,5,actor
nm0352778,tt1571249,2,actor
nm5940245,tt5175500,7,actor
nm10344409,tt36924228,3,actor
nm16075857,tt38349049,8,actress
nm18784854,tt43746593,5,actress
nm0041919,tt0345982,3,actor
nm0515296,tt2345112,9,actor
nm9264580,tt29544721,3,actress
nm8106630,tt0271640,8,actor
nm3372956,tt31637948,1,actor
nm0621418,tt7392212,5,actor
nm0004467,tt1505817,6,actor
nm1617755,tt2710542,8,actress
nm0668677,tt0066872,1,actress
nm3353282,tt0217694,10,actor
nm0902844,tt0094159,1,actor
nm1029525,tt1547631,3,actor
nm0579307,tt0280190,3,actor
nm0001038,tt0142650,2,actor
nm2547868,tt7627796,5,actress
nm2056274,tt12927920,5,actor
nm0896410,tt0047965,6,actress
nm0684134,tt0121434,8,actress
nm0149522,tt0288301,4,actor
nm3778138,tt1588306,5,actress
nm0094916,tt0246555,2,actress
nm1474125,tt33114956,1,actor
nm2396574,tt0219708,2,actor
nm10028368,tt13808918,3,actor
nm2486220,tt5224166,1,actor
nm0329746,tt0192454,8,actor
nm1167045,tt0254150,8,actress
nm5231232,tt2354498,1,actress
nm0571264,tt0303713,3,actor
nm3784970,tt1593770,8,actress
nm0870439,tt0446298,5,actor
nm12559876,tt21905770,4,actor
nm0379444,tt0026192,8,actress
nm15748504,tt34257047,8,actress
nm0880578,tt0075154,10,actor
nm8684924,tt6555348,5,actor
nm1667376,tt10851276,6,actress
nm3700979,tt6304994,2,actor
nm0006563,tt12440334,4,actor
nm0800830,tt0103978,8,actor
nm7292327,tt23036940,9,actor
nm0003501,tt0124731,10,actor
nm18221804,tt31540019,5,actress
nm0214529,tt0044662,4,actor
nm1269467,tt0270601,4,actor
nm0407514,tt0451829,1,actress
nm0500618,tt6999338,10,actor
nm6851938,tt6162762,4,actress
nm11236221,tt38988950,3,actor
nm1650064,tt0414917,4,actress
nm1699333,tt9182694,2,actress
nm0384018,tt0030167,9,actor
nm0403917,tt0017191,7,actor
nm1785112,tt0054486,4,actress
nm0958235,tt0058494,8,actress
nm3919984,tt4246894,1,actress
nm0796676,tt0964179,4,actress
nm0735714,tt0243042,6,actress
nm1035789,tt0486461,4,actor
nm0663708,tt0407825,3,actor
nm0286579,tt0078396,2,actress
nm3673310,tt1498887,9,actor
nm0783094,tt5150558,8,actress
nm2264842,tt1338612,3,actor
nm0295992,tt0017027,2,actor
nm0711590,tt0411118,7,actor
nm11367950,tt4636250,3,actress
nm0863414,tt15471550,6,actor
nm1580170,tt2192882,9,actress
nm7078353,tt0200613,4,actress
nm0000895,tt0052357,4,actress
nm12177225,tt13708702,10,actor
nm3089970,tt1891942,5,actor
nm0659235,tt0989685,5,actor
nm0876847,tt0470417,3,actor
nm1922814,tt4879410,4,actor
nm2855864,tt15565710,3,actor
nm2046459,tt20763860,3,actress
nm0437103,tt0161988,7,actor
nm3530649,tt29416620,2,actress
nm6924165,tt4211904,9,actress
nm0262678,tt0105296,6,actor
nm1995295,tt12252034,4,actor
nm1851838,tt0446112,5,actress
nm3634227,tt1540067,5,actor
nm0297083,tt0082892,2,actress
nm0421430,tt0013708,5,actor
nm3079594,tt1265599,2,actor
nm7099675,tt4419736,2,actor
nm5193529,tt6247120,1,actor
nm4928690,tt2275671,9,actor
nm0262647,tt0028071,10,actor
nm14263332,tt23635146,2,actor
nm8967844,tt7280218,2,actress
nm8110874,tt5164288,9,actor
nm1773074,tt5134700,4,actor
nm13312383,tt12414062,10,actor
nm0271229,tt0045923,9,actor
nm16145947,tt33336213,2,actor
nm1759155,tt3392502,5,actor
nm15262707,tt32484911,8,actress
nm0030516,tt0045343,9,actor
nm0742226,tt0109121,5,actress
nm0415556,tt0214635,7,actor
nm0952508,tt0283262,7,actress
nm0011979,tt34779970,1,actor
nm4566084,tt2522172,6,actor
nm13661629,tt3568084,9,actor
nm0258711,tt0069289,9,actress
nm2794962,tt31193180,4,actress
nm3055124,tt10805326,10,actor
nm0456615,tt0012918,2,actress
nm11127773,tt11273952,3,actor
nm0677669,tt1237034,8,actor
nm0132300,tt1502404,7,actress
nm1869396,tt28803602,7,actress
nm0761212,tt0095615,1,actress
nm0767945,tt0374822,5,actor
nm0798285,tt0184988,6,actor
nm10077572,tt8905222,10,actor
nm0910979,tt0095011,9,actor
nm2299764,tt2377366,5,actress
nm2958580,tt5186608,5,actress
nm0020979,tt0026654,3,actor
nm0935483,tt0179514,9,actor
nm0586579,tt9048566,3,actor
nm0691907,tt0038282,9,actress
nm1001213,tt9777532,3,actor
nm3913843,tt13793498,5,actor
nm11617751,tt43694673,8,actress
nm0611215,tt20764862,2,actor
nm1058696,tt0366512,2,actor
nm1244979,tt3481824,3,actress
nm0720021,tt0238949,9,actor
nm0544711,tt0038716,5,actress
nm0689164,tt0380509,4,actress
nm1036148,tt1415251,7,actor
nm0576169,tt0257416,4,actress
nm6799627,tt0016224,9,actor
nm0411451,tt0409401,4,actor
nm0001404,tt0086618,10,actress
nm0852846,tt4006718,10,actor
nm1887818,tt3419454,9,actor
nm0946263,tt0025671,1,actor
nm4025258,tt8772248,4,actress
nm1670861,tt9059566,5,actor
nm1274786,tt0340347,4,actor
nm0386294,tt2048786,7,actor
nm2823857,tt1268857,10,actress
nm0632425,tt0163729,6,actress
nm5899131,tt2930218,2,actor
nm14299295,tt29600926,4,actress
nm5842591,tt3092238,2,actor
nm12629021,tt14769764,3,actor
nm6693723,tt34038181,8,actor
nm1244486,tt8042452,10,actress
nm0865799,tt30701416,8,actor
nm3846586,tt32825328,10,actor
nm0624446,tt0381961,1,actress
nm0529876,tt0179731,6,actor
nm0657810,tt0114944,2,actress
nm0443502,tt0447449,1,actor
nm1720028,tt0790618,10,actress
nm0131570,tt0049284,8,actress
nm12176610,tt21420596,8,actress
nm2729942,tt1074641,6,actress
nm0818356,tt0084476,2,actor
nm0015475,tt0192251,3,actor
nm0020264,tt2132301,9,actor
nm0895830,tt1202033,5,actor
nm0639533,tt9569504,10,actress
nm5225923,tt6241888,5,actor
nm12241899,tt0185515,1,actor
nm1263584,tt2865318,8,actor
nm5286651,tt2374812,9,actor
nm2872726,tt1158894,8,actor
nm0729185,tt0125411,10,actor
nm0028074,tt0055639,8,actress
nm0230798,tt2080365,2,actress
nm11324100,tt8537562,5,actor
nm0181881,tt0487530,4,actor
nm4914526,tt0279174,6,actor
nm16093431,tt38075353,3,actress
nm0258751,tt11638970,1,actor
nm0359155,tt0389019,4,actress
nm4139012,tt12098368,8,actor
nm0446286,tt0045382,7,actor
nm3231035,tt5217736,3,actor
nm1090815,tt12811368,3,actor
nm0156444,tt0213314,3,actress
nm0025617,tt0213239,1,actor
nm18354142,tt41255878,2,actor
nm0654277,tt1369602,4,actor
nm0744718,tt0125719,10,actress
nm2956919,tt1433535,8,actress
nm3298803,tt1493313,7,actor
nm0394407,tt0023785,8,actress
nm15379758,tt15489762,4,actress
nm1062975,tt33416108,9,actor
nm10678023,tt10302640,3,actor
nm1164644,tt0106772,3,actress
nm0545540,tt0046483,9,actress
nm0830293,tt0207508,1,actor
nm5106270,tt6407698,2,actor
nm2609704,tt28623567,7,actress
nm0007162,tt0051080,3,actress
nm0160532,tt0060908,6,actress
nm0692944,tt29291318,8,actor
nm3334693,tt22446476,5,actor
nm3501353,tt10140026,4,actress
nm15994084,tt22852578,6,actor
nm0526234,tt0004639,1,actor
nm2381139,tt4852810,10,actor
nm2478108,tt37546201,3,actress
nm0474663,tt0021681,15,actor
nm1458376,tt0113244,2,actor
nm2761388,tt0186652,4,actor
nm1156358,tt9506710,1,actor
nm1096026,tt0115577,9,actress
nm13693258,tt25435674,9,actress
nm14859239,tt27763363,10,actress
nm0393365,tt31062314,3,actress
nm0045075,tt3378280,1,actor
nm0041509,tt0042625,1,actor
nm13436829,tt16001694,3,actor
nm1899823,tt30971199,7,actress
nm0621197,tt1559361,7,actor
nm0001635,tt0025091,1,actor
nm0710623,tt0245731,4,actor
nm0438769,tt0287803,4,actor
nm0079102,tt0342979,4,actor
nm1714868,tt5991672,8,actor
nm0098868,tt0096868,7,actress
nm7294475,tt7705474,4,actor
nm0873040,tt32573118,7,actor
nm18293267,tt40236323,1,actor
nm10172956,tt12363762,8,actress
nm0487543,tt0070866,3,actor
nm0933045,tt0007008,1,actor
nm0593369,tt0123934,10,actor
nm0939233,tt3440006,2,actress
nm0413954,tt0045769,5,actor
nm3548846,tt2697380,5,actor
nm0163725,tt0099400,1,actor
nm0765265,tt0393680,4,actor
nm0007746,tt0808323,4,actor
nm0004752,tt0098222,2,actress
nm0944624,tt1393746,4,actress
nm3552380,tt5845356,8,actor
nm1209936,tt0019689,2,actor
nm1413112,tt0345549,9,actor
nm1279938,tt0341583,3,actor
nm2655646,tt3150402,4,actress
nm13195804,tt16365776,2,actress
nm1167945,tt0090781,2,actor
nm1815255,tt10963882,2,actor
nm3085941,tt1401601,4,actress
nm1256586,tt0070343,4,actress
nm0244890,tt1244093,4,actress
nm1266194,tt6594836,3,actor
nm0681566,tt0105448,1,actor
nm1074300,tt13039378,5,actor
nm2799261,tt1261049,9,actor
nm0894494,tt0359556,6,actor
nm4262886,tt38351646,2,actor
nm0261375,tt0187313,2,actor
nm8049998,tt7613342,5,actor
nm4476530,tt33589472,5,actor
nm0570451,tt0041650,5,actor
nm0868474,tt0187712,5,actor
nm0154275,tt14333044,2,actress
nm0081604,tt0054419,10,actor
nm0188138,tt1504427,1,actress
nm14115621,tt4515722,10,actor
nm0001870,tt0024501,2,actor
nm2077159,tt6222118,10,actor
nm0328490,tt0054768,7,actress
nm3899046,tt1650557,9,actress
nm0769157,tt10397992,6,actor
nm2709113,tt1064797,1,actress
nm3964972,tt1562867,10,actor
nm2159926,tt14673560,1,actor
nm0762785,tt0035084,9,actor
nm0332831,tt0214764,5,actress
nm4875324,tt2185431,10,actor
nm0869541,tt14742450,9,actor
nm0329598,tt12499806,2,actress
nm0645385,tt26597337,5,actress
nm0137712,tt0054870,10,actress
nm0082848,tt0357451,2,actress
nm0112395,tt0037978,7,actor
nm0084430,tt0015174,5,actor
nm0786800,tt0051534,13,actress
nm4192596,tt1772935,4,actor
nm6090282,tt0288907,3,actress
nm4812558,tt2136805,5,actor
nm0000492,tt1234654,3,actress
nm0297835,tt0294794,6,actor
nm2129374,tt5198850,8,actress
nm1426930,tt0226204,20,actress
nm0616381,tt0258953,7,actor
nm0294058,tt0018224,3,actor
nm5800711,tt3290322,8,actor
nm7746711,tt24215106,3,actress
nm9142346,tt7154710,4,actress
nm0996450,tt1090318,1,actress
nm2772845,tt8661062,5,actress
nm1792604,tt27816710,8,actor
nm2608690,tt1728973,4,actress
nm3603153,tt1693105,2,actress
nm15234969,tt29010480,9,actor
nm5368259,tt1787127,5,actress
nm13250634,tt16728922,3,actress
nm2804225,tt4384314,8,actor
nm0250089,tt0096193,6,actress
nm3828453,tt3422468,5,actress
nm3668753,tt1538515,2,actor
nm0543351,tt0197825,4,actress
nm1244007,tt1159229,4,actor
nm0594226,tt0094352,4,actor
nm1294392,tt0231416,9,actor
nm0899237,tt0301799,2,actress
nm0753526,tt0765429,9,actor
nm0304000,tt0075763,7,actor
nm0711707,tt0275389,4,actor
nm0679814,tt0030126,8,actor
nm0935395,tt2044729,4,actress
nm0712628,tt0115751,5,actor
nm3174184,tt1398938,5,actress
nm3498072,tt22742070,6,actor
nm0344922,tt0396266,8,actress
nm3600241,tt1505031,3,actor
nm0024982,tt0261848,4,actress
nm0807076,tt0097561,2,actress
nm6345218,tt3585916,9,actor
nm7328709,tt4687330,5,actor
nm0895236,tt0436175,8,actor
nm0069770,tt1735198,8,actor
nm0000044,tt0039482,1,actor
nm0012451,tt0033493,10,actor
nm1248971,tt0213905,7,actor
nm13762641,tt27054329,5,actress
nm10182371,tt27044480,6,actor
nm0051282,tt1272018,1,actor
nm1198973,tt0835810,2,actress
nm0135526,tt0464174,9,actor
nm1388202,tt15554616,6,actor
nm0527750,tt31917839,7,actress
nm0515488,tt0255448,2,actress
nm1031324,tt2446786,4,actor
nm1074373,tt0370560,4,actor
nm6038984,tt6380508,4,actress
nm0685328,tt3685668,8,actor
nm0452735,tt0033231,4,actor
nm0474828,tt34793716,1,actor
nm10389110,tt8354306,9,actor
nm1877844,tt0366511,4,actor
nm0664850,tt0123224,1,actor
nm0278765,tt0098572,9,actor
nm2818072,tt30292340,1,actor
nm0522281,tt0009207,1,actress
nm0816416,tt0263509,2,actor
nm0525468,tt0064131,7,actress
nm1503909,tt0027295,3,actress
nm11703234,tt27219923,25,actor
nm5311554,tt2432836,7,actor
nm13394366,tt18230712,1,actress
nm18106432,tt39318988,1,actress
nm14318684,tt21212004,8,actor
nm0753192,tt0061140,7,actor
nm3095979,tt32022863,4,actor
nm4399355,tt30955160,3,actress
nm4922487,tt27722687,3,actor
nm0862677,tt0056057,10,actor
nm2600558,tt12866158,4,actor
nm0516003,tt31419914,9,actor
nm2025220,tt0479131,3,actress
nm0178674,tt1186361,4,actor
nm5985002,tt3229928,10,actor
nm1754158,tt0427448,7,actress
nm0515272,tt0019473,1,actress
nm6594984,tt7043332,8,actress
nm16631912,tt32623455,8,actor
nm0225961,tt0040867,8,actor
nm0183994,tt0005920,2,actress
nm1575779,tt0260411,8,actor
nm8220725,tt5812490,6,actor
nm3059755,tt1253578,4,actor
nm6227421,tt26658102,7,actress
nm3565780,tt0487945,9,actor
nm12364741,tt4509762,10,actress
nm1213437,tt0069759,6,actor
nm0209948,tt10803866,1,actor
nm0106785,tt0022161,7,actor
nm2209765,tt11046300,8,actress
nm0676812,tt0019050,9,actor
nm0379958,tt0331215,7,actor
nm9953218,tt8661420,4,actress
nm13835657,tt21250940,7,actress
nm8021589,tt5579982,10,actress
nm0479653,tt1473427,10,actor
nm3408612,tt2144500,3,actress
nm0238413,tt0302818,10,actor
nm0604335,tt0432131,10,actor
nm1695421,tt0497877,3,actor
nm0771111,tt0058197,4,actress
nm0440022,tt36092303,8,actor
nm9269267,tt21446256,2,actor
nm0580188,tt0277409,8,actor
nm0848383,tt30222959,5,actress
nm0824220,tt0119021,6,actor
nm0217387,tt0047896,3,actress
nm0080575,tt0197082,5,actor
nm0701180,tt0973810,6,actor
nm0792727,tt0015739,4,actor
nm4154015,tt2630320,6,actress
nm0119513,tt1719665,8,actor
nm9946217,tt35670732,3,actress
nm8817284,tt0359320,9,actress
nm0209850,tt3831344,4,actor
